(378, 99)
(373, 89)
(362, 80)
(362, 84)
(355, 76)
(360, 86)
(349, 75)
(352, 90)
(343, 83)
(326, 74)
(327, 87)
(307, 71)
(310, 78)
(255, 67)
(244, 73)
(257, 78)
(234, 79)
(223, 89)
(211, 106)
(204, 119)
(194, 129)
(185, 142)
(180, 145)
(172, 151)
(166, 156)
(164, 180)
(170, 194)
(167, 214)
(155, 231)
(148, 252)
(141, 271)
(136, 291)
(138, 317)
(141, 336)
(145, 359)
(149, 380)
(163, 393)
(189, 401)
(215, 396)
(235, 389)
(260, 381)
(316, 357)
(344, 351)
(364, 343)
(375, 339)
(384, 325)
(384, 303)
(384, 295)
(374, 287)
(372, 271)
(378, 251)
(380, 241)
(370, 222)
(359, 193)
(357, 156)
(359, 133)
(367, 114)
