(39, 658)
(60, 658)
(82, 657)
(106, 656)
(115, 657)
(127, 639)
(140, 614)
(149, 595)
(157, 591)
(162, 569)
(166, 558)
(172, 536)
(184, 512)
(187, 499)
(188, 487)
(186, 482)
(172, 492)
(147, 505)
(128, 518)
(115, 527)
(90, 538)
(74, 550)
(69, 552)
(60, 563)
(54, 584)
(44, 616)
(41, 642)
(-1, -1)
(186, 484)
(166, 495)
(134, 514)
(124, 522)
(97, 536)
(66, 552)
(56, 582)
(42, 643)
(51, 643)
(60, 644)
(123, 645)
(134, 625)
(144, 604)
(155, 591)
(163, 572)
(166, 558)
(170, 537)
(181, 516)
(185, 504)
(184, 498)
(187, 484)
(154, 501)
